timestamp,left_knee,right_knee,left_hip,right_hip,left_ankle,right_ankle
2025-02-12 22:52:22.549446,170.12106919157162,177.32016978702686,165.60385561575322,178.26531136481108,166.62584757836262,178.41920468238413
2025-02-12 22:52:22.583342,174.14308238603186,173.8085856473299,168.86786723959105,177.22903040532674,168.27128088957625,176.6781731898401
2025-02-12 22:52:22.618411,176.1753755687018,173.95691271892923,171.0509380024666,175.49524483601394,168.48732228392018,176.39751636813335
2025-02-12 22:52:22.651509,178.43622497730877,178.02191619404732,173.15761189808686,173.74506969097934,170.90894689053883,174.6250688542749
2025-02-12 22:52:22.689580,178.61945525082248,175.11576573334656,174.6300690970696,171.78108868773904,163.77494217252732,169.1310463784905
2025-02-12 22:52:22.719544,178.98241452496214,176.12274103475158,174.08472653570678,171.14937767298827,171.29740381479348,169.10755183066172
2025-02-12 22:52:22.751160,179.42591913482553,177.3035057214767,174.36404992732437,171.63142129650961,170.897508494077,169.65484784196477
2025-02-12 22:52:22.787846,175.04726080053862,159.00713538138427,171.9761583387182,166.18466433370529,178.1396514241269,157.03420537521126
2025-02-12 22:52:22.819913,178.3773092476463,159.32681558847062,173.21721264084545,164.9258872382863,177.3630730214596,157.4668341649291
2025-02-12 22:52:22.851613,179.1415014460764,159.98609630046724,173.8537723977336,164.29510809302857,172.77623824603592,157.91197940191535
2025-02-12 22:52:22.884674,179.8490610389315,164.0971671084728,172.93454990354854,165.6047827653028,177.71123137895765,160.10686768489214
2025-02-12 22:52:22.918273,178.2802472726386,170.63683936264928,172.70090446841266,166.92378286096516,178.1157908145596,163.68801119379305
2025-02-12 22:52:22.950669,176.96161946368144,171.56067342260403,172.54323226117305,168.31450199905592,178.38510989899456,162.74077570861053
2025-02-12 22:52:22.984877,176.04492351499212,176.90754578724608,172.01458155896267,170.27684949011606,178.91110716692543,166.21447005850908
2025-02-12 22:52:23.019736,175.4651507230837,176.00799639356805,172.7851280076013,169.00967009089445,173.5971111949975,166.25206952724545
2025-02-12 22:52:23.060880,173.47094156618093,177.39627273989598,171.8347017013495,168.7214823854374,171.4697432173556,175.65196478535475
2025-02-12 22:52:23.094623,172.14288395931018,178.8617537685489,171.43485835406486,168.71061556797366,173.86458151868496,175.41806663521493
2025-02-12 22:52:23.124009,171.5511533212403,177.5157488110634,170.40751857726676,169.29700018408593,170.49147120443487,177.4527417359678
2025-02-12 22:52:23.161109,170.84592126223257,179.36042311875892,169.77017241645535,168.13746045264253,172.8408491771753,175.08809652963973
2025-02-12 22:52:23.195304,170.15856637970802,178.32856585388754,169.65958002117446,167.0148573517281,170.09660965848175,172.03934890645232
2025-02-12 22:52:23.225725,167.3022401478223,179.10851605824237,169.87751610867747,165.744111295804,171.3532788328347,174.3286782679472
2025-02-12 22:52:23.259250,168.41826023439998,173.53418266653966,170.3548957194066,166.29671353309556,170.82460070077212,173.66076797851397
2025-02-12 22:52:23.292498,166.27035632367975,173.71871563443537,170.04995206026288,166.83885024371259,167.85424788114125,173.3947689647637
2025-02-12 22:52:23.763505,164.77058827723712,158.3238212190766,162.5538937055137,166.93829804680342,136.54661429671688,114.17328048691253
2025-02-12 22:52:23.798760,166.05649727718944,175.10063241020652,167.99313746006567,178.55761306494622,151.80011361490233,179.60700233779755
2025-02-12 22:52:23.835104,162.1872274775465,176.18742861773845,170.3853344753953,178.4632070982651,163.4854108581754,148.4669558948279
2025-02-12 22:52:23.868720,158.47141917738148,175.58792377269114,163.10599733868682,176.85963889088353,110.87678833714251,158.55280359048717
2025-02-12 22:52:23.901268,151.73224593986748,172.68085813987292,159.9523917277872,175.4985811690781,133.43126140666993,151.35427183370112
2025-02-12 22:52:23.937654,152.59367369591826,172.45413856655102,163.04679659601112,176.52418130790173,117.94160773200515,174.45693293993347
2025-02-12 22:52:24.427771,147.59912277102185,154.17665632637832,138.5078630164072,158.25727173488792,131.7152934308016,154.138286286106
